City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
418,Kibre Mengist,ET,55.47,scattered clouds,5.88,38.98,Selam Ber Hotel (Tsehay Faris)
419,Eganville,CA,57.99,overcast clouds,45.53,-77.1,Egan Inn
423,Kapuskasing,CA,57.2,overcast clouds,49.42,-82.43,Park Inn Motel
431,Arenillas,ES,46.99,clear sky,41.35,-2.85,Casa del Curato
433,Iqaluit,CA,55.4,broken clouds,63.75,-68.51,Frobisher Inn
435,Launceston,AU,61.0,scattered clouds,-41.45,147.17,Hotel Grand Chancellor Launceston
437,Mirnyy,RU,48.2,haze,62.54,113.96,"Гостиница ""УЮТ"""
439,Klyuchi,RU,61.0,scattered clouds,52.27,79.17,Vesolaya Mayovka
442,Andenes,NO,44.6,light rain,69.31,16.12,Hotell Marena
451,Lucenec,SK,64.4,broken clouds,48.33,19.67,Hotel Slovan
452,Muswellbrook,AU,63.0,clear sky,-32.27,150.9,Wayfarer Motel
455,Beringovskiy,RU,47.84,overcast clouds,63.05,179.32,Beringgorski
462,Nadym,RU,41.9,overcast clouds,65.53,72.52,Apartment on Zvereva
464,Ahipara,NZ,61.68,clear sky,-35.17,173.17,Ahipara Holiday Park
466,Pergamino,AR,50.0,broken clouds,-33.89,-60.57,Hotel Fachinat
467,Causapscal,CA,55.99,overcast clouds,48.35,-67.23,Camping Causapscal chez Moose
469,Haines Junction,CA,58.44,scattered clouds,60.75,-137.51,Parkside Inn
470,Ust-Ishim,RU,55.11,broken clouds,57.69,71.17,"Velichko T.p., Gostinitsa"
471,Tarancon,ES,59.0,few clouds,40.01,-3.01,hotel castilla
472,Longyearbyen,SJ,39.2,scattered clouds,78.22,15.64,"Radisson Blu Polar Hotel, Spitsbergen"
474,Kupino,RU,56.55,clear sky,54.37,77.3,Hotel Sibiria Inn
475,Peleduy,RU,58.6,overcast clouds,59.63,112.74,Гостиница «Уют»
479,Fairbanks,US,64.99,clear sky,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
481,Stornoway,GB,50.0,overcast clouds,58.21,-6.39,Caladh Inn
485,Lasa,IT,55.0,broken clouds,46.62,10.7,Pension Feldgärtenhof
486,Dudinka,RU,44.6,fog,69.41,86.18,Hotel Viktoria
