City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Pevek,RU,69.7,170.31,39.4,80,100,4.34,overcast clouds
113,Myitkyina,MM,25.38,97.4,74.73,93,100,1.43,light rain
114,Kuldiga,LV,56.97,21.96,62.6,88,40,11.41,scattered clouds
115,Dunedin,NZ,-45.87,170.5,53.01,74,35,8.01,scattered clouds
116,Wembley,AU,-31.93,115.8,52.0,70,15,12.75,few clouds
117,Lebu,CL,-37.62,-73.65,45.63,72,1,14.99,clear sky
118,Padang,ID,-0.95,100.35,77.43,77,84,4.92,broken clouds
119,Flinders,AU,-34.58,150.86,66.99,66,0,5.99,clear sky
120,Avera,US,33.19,-82.53,84.2,83,1,4.7,clear sky
121,Kiama,AU,-34.68,150.87,68.0,57,0,7.0,clear sky
122,Panalingaan,PH,8.78,117.42,83.82,72,100,2.08,overcast clouds
123,Nago,JP,26.59,127.98,84.2,88,1,9.17,clear sky
124,Umm Kaddadah,SD,13.6,26.69,82.26,54,11,4.43,few clouds
125,Henties Bay,NA,-22.12,14.28,51.01,78,0,13.42,clear sky
126,Roald,NO,62.58,6.13,50.0,76,98,6.93,overcast clouds
127,Santana Do Acarau,BR,-3.46,-40.21,77.95,67,35,7.36,scattered clouds
128,East London,ZA,-33.02,27.91,53.46,60,75,18.92,broken clouds
129,Namibe,AO,-15.2,12.15,60.44,70,0,2.59,clear sky
130,Broken Hill,AU,-31.95,141.43,66.2,25,71,13.87,broken clouds
131,Berdigestyakh,RU,62.1,126.7,53.04,91,100,5.23,moderate rain
132,Butaritari,KI,3.07,172.79,83.55,70,48,10.56,scattered clouds
133,Kassala,SD,15.45,36.4,78.26,75,83,12.19,light rain
134,Pathein,MM,16.78,94.73,78.66,92,99,6.13,overcast clouds
135,Lewistown,US,40.6,-77.57,79.0,57,1,10.29,clear sky
136,Paciran,ID,-6.88,112.38,76.68,75,86,6.67,overcast clouds
137,Touros,BR,-5.2,-35.46,77.0,83,40,5.82,scattered clouds
138,Khatanga,RU,71.97,102.5,51.66,68,89,10.36,overcast clouds
139,Port Lincoln,AU,-34.73,135.87,56.17,67,54,19.62,broken clouds
140,Pauini,BR,-7.71,-66.98,78.4,74,69,3.31,broken clouds
141,Hirara,JP,24.8,125.28,84.2,83,20,13.87,few clouds
142,Dikson,RU,73.51,80.55,42.12,95,100,21.43,overcast clouds
143,Luderitz,NA,-26.65,15.16,51.35,66,0,15.84,clear sky
144,Bethalto,US,38.91,-90.04,77.0,78,90,8.05,overcast clouds
145,Cabo San Lucas,MX,22.89,-109.91,82.0,88,90,8.05,overcast clouds
146,Bonavista,CA,48.65,-53.11,59.0,79,61,13.0,broken clouds
147,Ponta Do Sol,PT,32.67,-17.1,71.6,60,40,18.34,scattered clouds
148,New Norfolk,AU,-42.78,147.06,66.0,43,64,4.0,broken clouds
149,Luwuk,ID,-0.95,122.79,79.16,71,100,8.75,overcast clouds
150,Iralaya,HN,15.0,-83.23,87.8,74,40,11.41,scattered clouds
151,Klaksvik,FO,62.23,-6.59,42.8,93,89,3.44,overcast clouds
152,Wajir,KE,1.75,40.06,73.31,76,2,12.93,clear sky
153,Balakhta,RU,55.38,91.6,51.57,89,51,3.29,broken clouds
154,Kapaa,US,22.08,-159.32,84.0,74,40,11.41,light rain
155,San Patricio,MX,19.22,-104.7,86.0,79,75,17.22,broken clouds
156,Coahuayana,MX,18.73,-103.68,77.0,83,75,11.41,broken clouds
157,Kruisfontein,ZA,-34.0,24.73,46.0,75,61,3.0,light rain
158,Cape Town,ZA,-33.93,18.42,46.0,93,75,5.82,light rain
159,Vila Velha,BR,-20.33,-40.29,71.6,94,40,5.82,scattered clouds
160,Falavarjan,IR,32.56,51.51,68.0,18,0,6.93,clear sky
161,Bang Saphan,TH,11.21,99.51,77.0,94,20,3.36,few clouds
162,Mareeba,AU,-17.0,145.43,72.0,76,85,7.0,overcast clouds
163,Jatiroto,ID,-7.88,111.12,73.4,83,75,3.36,broken clouds
164,High Level,CA,58.52,-117.14,50.0,93,75,8.05,shower rain
165,Kerema,PG,-7.96,145.78,82.45,72,19,4.41,few clouds
166,Pavino,RU,59.11,46.14,54.88,96,47,7.47,scattered clouds
167,Kaputa,ZM,-8.47,29.66,73.53,48,20,2.95,few clouds
168,Halifax,CA,44.65,-63.57,64.0,95,100,7.0,moderate rain
169,Derzhavinsk,KZ,51.1,66.32,66.63,52,44,5.41,scattered clouds
170,Berlevag,NO,70.86,29.09,49.86,74,96,10.29,overcast clouds
171,Kodiak,US,57.79,-152.41,53.6,93,90,24.16,light rain
172,Pangnirtung,CA,66.15,-65.71,51.49,46,41,1.36,scattered clouds
173,Los Llanos De Aridane,ES,28.66,-17.92,73.4,73,20,19.46,few clouds
174,San Ramon De La Nueva Oran,AR,-23.13,-64.33,82.99,41,2,4.0,clear sky
175,Kirkwood,US,38.58,-90.41,79.0,65,75,8.05,broken clouds
176,Grindavik,IS,63.84,-22.43,51.8,100,90,14.99,moderate rain
177,Hermanus,ZA,-34.42,19.23,42.01,93,74,3.0,light rain
178,Ugoofaaru,MV,5.67,73.0,82.72,68,100,5.64,overcast clouds
179,Aksehir,TR,38.36,31.42,67.26,25,0,3.6,clear sky
180,Iranshahr,IR,27.2,60.68,84.88,14,3,6.33,clear sky
181,Tulsa,US,36.1,-95.9,82.99,65,75,10.29,broken clouds
182,Selikhino,RU,50.37,137.5,60.53,60,98,7.2,overcast clouds
183,Bandarbeyla,SO,9.49,50.81,77.94,73,94,23.17,overcast clouds
184,Liwale,TZ,-9.77,37.93,63.01,95,8,2.55,clear sky
185,Biak,ID,-0.91,122.88,78.26,75,100,10.07,overcast clouds
186,Along,IN,28.17,94.77,72.55,88,100,1.1,overcast clouds
187,Katherine,AU,-14.47,132.27,77.0,50,82,10.29,broken clouds
188,Yellowknife,CA,62.46,-114.35,48.0,93,90,20.8,light rain
189,Chuy,UY,-33.7,-53.46,53.53,82,96,14.14,overcast clouds
190,Yerbogachen,RU,61.28,108.01,55.99,76,26,4.83,scattered clouds
